,Participant_ID,Group_ID,Role,TA_Treatment,Delay_Treatment,Valuation,Match_Round_1,Match_Round_2,Match_Round_3,Match_Round_4,Match_Round_5,Match_Round_6,Match_Round_7,Match_Round_8,Match_Round_9,Match_Round_10,Match_Round_11,Match_Round_12,Match_Round_13,Match_Round_14,Match_Round_15,Match_Round_16,Match_Round_17,Match_Round_18,Match_Round_19,Match_Round_20
0,1,5,Seller,High,Low,0,21.0,21.0,29.0,53.0,29.0,29.0,29.0,53.0,53.0,39.0,29.0,53.0,39.0,53.0,29.0,39.0,29.0,29.0,53.0,39.0
1,2,7,Seller,High,High,0,33.0,24.0,24.0,71.0,33.0,65.0,71.0,65.0,24.0,65.0,65.0,71.0,33.0,24.0,33.0,24.0,33.0,33.0,65.0,33.0
2,3,8,Buyer,Low,High,7,22.0,43.0,43.0,43.0,13.0,43.0,43.0,22.0,13.0,7.0,22.0,43.0,43.0,13.0,43.0,13.0,13.0,22.0,7.0,7.0
3,4,6,Seller,High,High,0,48.0,12.0,68.0,57.0,48.0,48.0,57.0,48.0,48.0,48.0,48.0,48.0,57.0,48.0,57.0,48.0,57.0,57.0,68.0,68.0
4,5,4,Seller,Low,Low,0,23.0,23.0,28.0,52.0,52.0,28.0,23.0,51.0,51.0,51.0,23.0,51.0,52.0,28.0,28.0,28.0,51.0,23.0,23.0,52.0
5,6,1,Buyer,High,Low,94,20.0,20.0,20.0,67.0,20.0,56.0,20.0,56.0,35.0,56.0,56.0,20.0,67.0,56.0,56.0,67.0,56.0,35.0,56.0,56.0
6,7,8,Seller,High,High,0,61.0,55.0,61.0,61.0,61.0,30.0,30.0,55.0,55.0,3.0,30.0,55.0,61.0,30.0,30.0,61.0,61.0,55.0,3.0,3.0
7,8,3,Buyer,Low,Low,7,15.0,41.0,15.0,16.0,15.0,15.0,40.0,40.0,15.0,16.0,16.0,16.0,41.0,40.0,16.0,41.0,41.0,40.0,16.0,40.0
8,9,2,Buyer,Low,High,95,46.0,63.0,50.0,63.0,63.0,46.0,45.0,46.0,63.0,63.0,45.0,63.0,45.0,50.0,63.0,46.0,50.0,45.0,46.0,46.0
9,10,2,Buyer,Low,High,87,50.0,50.0,46.0,50.0,50.0,50.0,50.0,45.0,50.0,46.0,63.0,50.0,46.0,46.0,45.0,45.0,63.0,50.0,63.0,45.0
10,11,2,Buyer,High,Low,12,45.0,45.0,45.0,45.0,46.0,45.0,63.0,63.0,45.0,45.0,50.0,45.0,50.0,45.0,46.0,50.0,45.0,46.0,45.0,63.0
11,12,6,Buyer,High,High,85,14.0,4.0,59.0,14.0,42.0,42.0,42.0,14.0,42.0,14.0,59.0,42.0,42.0,42.0,42.0,14.0,42.0,59.0,42.0,59.0
12,13,8,Seller,Low,High,0,30.0,61.0,55.0,30.0,3.0,61.0,55.0,61.0,3.0,61.0,61.0,30.0,30.0,3.0,61.0,3.0,3.0,30.0,55.0,55.0
13,14,6,Seller,High,Low,0,12.0,68.0,57.0,12.0,68.0,57.0,68.0,12.0,57.0,12.0,57.0,68.0,48.0,68.0,68.0,12.0,68.0,48.0,48.0,57.0
14,15,3,Seller,Low,High,0,8.0,47.0,8.0,38.0,8.0,8.0,47.0,38.0,8.0,44.0,38.0,38.0,47.0,44.0,44.0,38.0,38.0,47.0,44.0,44.0
15,16,3,Seller,Low,Low,0,44.0,38.0,44.0,8.0,38.0,44.0,44.0,47.0,47.0,8.0,8.0,8.0,38.0,47.0,8.0,47.0,47.0,44.0,8.0,47.0
16,17,9,Buyer,Low,Low,84,49.0,70.0,49.0,49.0,70.0,49.0,32.0,19.0,49.0,32.0,49.0,70.0,19.0,19.0,19.0,19.0,70.0,19.0,49.0,70.0
17,18,4,Seller,High,High,0,51.0,52.0,52.0,23.0,23.0,52.0,52.0,23.0,28.0,52.0,51.0,23.0,28.0,51.0,51.0,52.0,28.0,52.0,28.0,28.0
18,19,9,Seller,High,High,0,64.0,64.0,66.0,66.0,64.0,66.0,36.0,17.0,66.0,66.0,64.0,66.0,17.0,17.0,17.0,17.0,36.0,17.0,36.0,36.0
19,20,1,Seller,Low,Low,0,6.0,6.0,6.0,34.0,6.0,72.0,6.0,34.0,69.0,34.0,34.0,6.0,72.0,72.0,72.0,72.0,34.0,69.0,72.0,34.0
20,21,5,Buyer,High,High,73,1.0,1.0,60.0,58.0,60.0,58.0,60.0,37.0,37.0,58.0,60.0,37.0,60.0,58.0,60.0,60.0,60.0,58.0,60.0,37.0
21,22,8,Seller,High,High,0,3.0,30.0,30.0,55.0,55.0,55.0,61.0,3.0,61.0,55.0,3.0,61.0,55.0,61.0,55.0,55.0,30.0,3.0,61.0,61.0
22,23,4,Buyer,Low,Low,33,5.0,5.0,31.0,18.0,18.0,62.0,5.0,18.0,31.0,62.0,5.0,18.0,62.0,31.0,62.0,31.0,31.0,5.0,5.0,31.0
23,24,7,Buyer,Low,Low,70,27.0,2.0,2.0,25.0,26.0,26.0,25.0,27.0,2.0,27.0,25.0,27.0,26.0,2.0,26.0,2.0,27.0,26.0,27.0,25.0
24,25,7,Seller,Low,Low,0,65.0,33.0,71.0,24.0,71.0,33.0,24.0,33.0,71.0,33.0,24.0,33.0,65.0,33.0,65.0,71.0,71.0,65.0,71.0,24.0
25,26,7,Seller,High,High,0,71.0,71.0,33.0,33.0,24.0,24.0,33.0,71.0,65.0,71.0,33.0,65.0,24.0,71.0,24.0,65.0,65.0,24.0,33.0,71.0
26,27,7,Seller,High,Low,0,24.0,65.0,65.0,65.0,65.0,71.0,65.0,24.0,33.0,24.0,71.0,24.0,71.0,65.0,71.0,33.0,24.0,71.0,24.0,65.0
27,28,4,Buyer,Low,Low,52,62.0,62.0,5.0,62.0,31.0,5.0,62.0,62.0,18.0,31.0,31.0,31.0,18.0,5.0,5.0,5.0,18.0,31.0,18.0,18.0
28,29,5,Buyer,Low,Low,52,58.0,58.0,1.0,60.0,1.0,1.0,1.0,58.0,58.0,37.0,1.0,60.0,37.0,60.0,1.0,37.0,1.0,1.0,58.0,60.0
29,30,8,Buyer,Low,Low,71,13.0,22.0,22.0,13.0,43.0,7.0,7.0,43.0,43.0,43.0,7.0,13.0,13.0,7.0,7.0,43.0,22.0,13.0,43.0,43.0
30,31,4,Seller,High,High,0,52.0,51.0,23.0,51.0,28.0,51.0,51.0,52.0,23.0,28.0,28.0,28.0,51.0,23.0,52.0,23.0,23.0,28.0,51.0,23.0
31,32,9,Seller,Low,Low,0,36.0,66.0,36.0,64.0,66.0,36.0,17.0,36.0,36.0,17.0,66.0,64.0,66.0,36.0,66.0,66.0,66.0,64.0,64.0,64.0
32,33,7,Buyer,Low,High,36,2.0,25.0,26.0,26.0,2.0,25.0,26.0,25.0,27.0,25.0,26.0,25.0,2.0,25.0,2.0,27.0,2.0,2.0,26.0,2.0
33,34,1,Buyer,Low,High,0,35.0,35.0,35.0,20.0,56.0,67.0,56.0,20.0,56.0,20.0,20.0,67.0,35.0,67.0,67.0,35.0,20.0,67.0,35.0,20.0
34,35,1,Seller,High,Low,0,34.0,34.0,34.0,72.0,72.0,69.0,72.0,69.0,6.0,69.0,72.0,69.0,34.0,69.0,69.0,34.0,69.0,6.0,34.0,72.0
35,36,9,Buyer,High,High,65,32.0,49.0,32.0,70.0,49.0,32.0,19.0,32.0,32.0,49.0,70.0,49.0,49.0,32.0,49.0,49.0,19.0,49.0,19.0,19.0
36,37,5,Seller,High,High,0,39.0,39.0,39.0,39.0,53.0,53.0,53.0,21.0,21.0,29.0,53.0,21.0,29.0,39.0,53.0,29.0,39.0,53.0,39.0,21.0
37,38,3,Buyer,High,High,60,41.0,16.0,40.0,15.0,16.0,41.0,41.0,15.0,40.0,41.0,15.0,15.0,16.0,41.0,40.0,15.0,15.0,41.0,40.0,41.0
38,39,5,Buyer,Low,Low,31,37.0,37.0,37.0,37.0,58.0,60.0,58.0,60.0,60.0,1.0,58.0,58.0,1.0,37.0,58.0,1.0,37.0,60.0,37.0,1.0
39,40,3,Seller,High,Low,0,47.0,44.0,38.0,47.0,47.0,47.0,8.0,8.0,38.0,47.0,47.0,47.0,44.0,8.0,38.0,44.0,44.0,8.0,38.0,8.0
40,41,3,Seller,High,High,0,38.0,8.0,47.0,44.0,44.0,38.0,38.0,44.0,44.0,38.0,44.0,44.0,8.0,38.0,47.0,8.0,8.0,38.0,47.0,38.0
41,42,6,Seller,High,Low,0,68.0,57.0,48.0,48.0,12.0,12.0,12.0,57.0,12.0,68.0,68.0,12.0,12.0,12.0,12.0,57.0,12.0,68.0,12.0,48.0
42,43,8,Seller,High,Low,0,55.0,3.0,3.0,3.0,30.0,3.0,3.0,30.0,30.0,30.0,55.0,3.0,3.0,55.0,3.0,30.0,55.0,61.0,30.0,30.0
43,44,3,Buyer,Low,High,88,16.0,40.0,16.0,41.0,41.0,16.0,16.0,41.0,41.0,15.0,41.0,41.0,40.0,15.0,15.0,40.0,40.0,16.0,15.0,15.0
44,45,2,Seller,High,Low,0,11.0,11.0,11.0,11.0,54.0,11.0,9.0,10.0,11.0,11.0,9.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,11.0,10.0
45,46,2,Seller,Low,High,0,9.0,54.0,10.0,54.0,11.0,9.0,54.0,9.0,54.0,10.0,54.0,54.0,10.0,10.0,11.0,9.0,54.0,11.0,9.0,9.0
46,47,3,Buyer,High,Low,56,40.0,15.0,41.0,40.0,40.0,40.0,15.0,16.0,16.0,40.0,40.0,40.0,15.0,16.0,41.0,16.0,16.0,15.0,41.0,16.0
47,48,6,Buyer,Low,Low,72,4.0,59.0,42.0,42.0,4.0,4.0,59.0,4.0,4.0,4.0,4.0,4.0,14.0,4.0,59.0,4.0,59.0,14.0,14.0,42.0
48,49,9,Seller,High,High,0,17.0,36.0,17.0,17.0,36.0,17.0,66.0,66.0,17.0,36.0,17.0,36.0,36.0,64.0,36.0,36.0,64.0,36.0,17.0,66.0
49,50,2,Seller,Low,Low,0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,54.0,10.0,54.0,11.0,10.0,11.0,9.0,54.0,11.0,9.0,10.0,54.0,54.0
50,51,4,Buyer,High,Low,88,18.0,31.0,62.0,31.0,62.0,31.0,31.0,5.0,5.0,5.0,18.0,5.0,31.0,18.0,18.0,62.0,5.0,62.0,31.0,62.0
51,52,4,Buyer,High,High,87,31.0,18.0,18.0,5.0,5.0,18.0,18.0,31.0,62.0,18.0,62.0,62.0,5.0,62.0,31.0,18.0,62.0,18.0,62.0,5.0
52,53,5,Buyer,Low,Low,8,60.0,60.0,58.0,1.0,37.0,37.0,37.0,1.0,1.0,60.0,37.0,1.0,58.0,1.0,37.0,58.0,58.0,37.0,1.0,58.0
